tournament,round,player1,player2,legs_score,sets_score,p1_three_dart_avg,p2_three_dart_avg,p1_checkouts,p2_checkouts
Players Championship Finals 2024,R64,Gian van Veen,Scott Williams,5-6,n.a,104.21,97.64,5/10,6/11
Players Championship Finals 2024,R64,Andrew Gilding,Kevin Doets,6-3,n.a,97.14,94.16,6/14,3/15
Players Championship Finals 2024,R64,William O'Connor,Niels Zonneveld,3-6,n.a,88.83,97.57,3/11,6/11
Players Championship Finals 2024,R64,Brendan Dolan,Martin Schindler,2-6,n.a,78.46,83.91,2/6,6/13
Players Championship Finals 2024,R64,Krzysztof Ratajski,Madars Razma,6-4,n.a,96.16,93.77,6/11,4/14
Players Championship Finals 2024,R64,Ritchie Edhouse,Luke Woodhouse,6-5,n.a,95.79,94.89,6/11,5/11
Players Championship Finals 2024,R64,Cameron Menzies,Jim Williams,6-2,n.a,94.77,83.03,6/15,2/6
Players Championship Finals 2024,R64,James Wade,Stephen Burton,4-6,n.a,87.68,87.52,4/16,6/21
Players Championship Finals 2024,R64,Dirk van Duijvenbode,Callan Rydz,6-1,n.a,99.4,93.33,6/16,1/2
Players Championship Finals 2024,R64,Ryan Searle,Jeffrey de Graaf,5-6,n.a,93.52,95.07,5/18,6/10
Players Championship Finals 2024,R64,Ryan Joyce,Karel Sedlacek,6-4,n.a,91.39,87.06,6/8,4/16
Players Championship Finals 2024,R64,Wesley Plaisier,Mensur Suljovic,6-4,n.a,95,93.89,6/12,4/16
Players Championship Finals 2024,R64,Martin Lukeman,Connor Scutt,4-6,n.a,92.51,98.98,4/9,6/19
Players Championship Finals 2024,R64,Alan Soutar,Jermaine Wattimena,4-6,n.a,89.33,91.29,4/9,6/17
Players Championship Finals 2024,R64,Dave Chisnall,Joe Cullen,6-1,n.a,96.26,86.17,6/10,1/1
Players Championship Finals 2024,R64,Wessel Nijman,Kim Huybrechts,1-6,n.a,90.14,96.87,1/2,6/10
Players Championship Finals 2024,R64,Damon Heta,Mervyn King,6-1,n.a,92.87,80.56,6/11,1/3
Players Championship Finals 2024,R64,Daryl Gurney,Peter Wright,6-1,n.a,108.81,88.66,6/9,1/1
Players Championship Finals 2024,R64,Jonny Clayton,Florian Hempel,3-6,n.a,89.96,92.91,3/13,6/19
Players Championship Finals 2024,R64,Gerwyn Price,Thibault Tricole,4-6,n.a,94.64,95.2,4/11,6/16
Players Championship Finals 2024,R64,Danny Noppert,James Hurrell,6-5,n.a,95.9,97.84,6/13,5/12
Players Championship Finals 2024,R64,Chris Dobey,Nathan Aspinall,1-6,n.a,86.08,91.63,1/8,6/25
Players Championship Finals 2024,R64,Raymond van Barneveld,Chris Landman,6-2,n.a,98.06,91.2,6/9,2/5
Players Championship Finals 2024,R64,Michael van Gerwen,Ian White,1-6,n.a,91.41,102.69,1/4,6/10
Players Championship Finals 2024,R64,Stephen Bunting,Mario Vandenbogaerde,2-6,n.a,94.72,95.62,2/7,6/10
Players Championship Finals 2024,R64,Luke Littler,Rob Cross,6-0,n.a,112.73,100.54,6/10,0/3
Players Championship Finals 2024,R64,Mike De Decker,Richard Veenstra,6-1,n.a,93,90.42,6/18,1/13
Players Championship Finals 2024,R64,Luke Humphries,Gabriel Clemens,6-2,n.a,95.34,93.77,6/13,2/11
Players Championship Finals 2024,R64,Michael Smith,Nick Kenny,6-5,n.a,94.26,96.06,6/21,5/12
Players Championship Finals 2024,R64,Gary Anderson,Ryan Meikle,5-6,n.a,103.88,94.43,5/18,6/13
Players Championship Finals 2024,R64,Josh Rock,Ricky Evans,6-1,n.a,96.31,88.88,6/17,1/5
Players Championship Finals 2024,R64,Ross Smith,Dimitri Van den Bergh,6-1,n.a,104.73,87.1,6/16,1/3
Players Championship Finals 2024,R32,Cameron Menzies,Ryan Joyce,5-6,n.a,87.98,91.92,5/26,6/15
Players Championship Finals 2024,R32,Kim Huybrechts,Scott Williams,4-6,n.a,88.86,87.11,4/12,6/20
Players Championship Finals 2024,R32,Dave Chisnall,Andrew Gilding,5-6,n.a,90.95,100.07,5/12,6/14
Players Championship Finals 2024,R32,Nathan Aspinall,Niels Zonneveld,3-6,n.a,95.79,97.27,3/7,6/11
Players Championship Finals 2024,R32,Jeffrey de Graaf,Thibault Tricole,6-3,n.a,87.92,89.02,6/18,3/6
Players Championship Finals 2024,R32,Damon Heta,Krzysztof Ratajski,6-5,n.a,97.36,97.86,6/24,5/17
Players Championship Finals 2024,R32,Florian Hempel,Dirk van Duijvenbode,3-6,n.a,87.74,89.64,3/14,6/10
Players Championship Finals 2024,R32,Daryl Gurney,Michael Smith,6-4,n.a,86.1,92.76,6/7,4/15
Players Championship Finals 2024,R32,Mario Vandenbogaerde,Connor Scutt,3-6,n.a,88.76,91.6,3/14,6/16
Players Championship Finals 2024,R32,Raymond van Barneveld,Luke Humphries,3-6,n.a,89.69,102.35,3/9,6/10
Players Championship Finals 2024,R32,Danny Noppert,Stephen Burton,6-4,n.a,93.35,80.79,6/22,4/20
Players Championship Finals 2024,R32,Josh Rock,Jermaine Wattimena,0-6,n.a,97.15,102.48,0/5,6/7
Players Championship Finals 2024,R32,Mike De Decker,Ian White,6-0,n.a,101.33,76.13,6/7,0/1
Players Championship Finals 2024,R32,Luke Littler,Richard Edhouse,6-2,n.a,105.33,105.35,6/15,2/5
Players Championship Finals 2024,R32,Ross Smith,Wesley Plaisier,6-1,n.a,89.9,80.08,6/10,1/6
Players Championship Finals 2024,R32,Ryan Meikle,Martin Schindler,4-6,n.a,95.67,98.96,4/8,6/14
Players Championship Finals 2024,R16,Jeffrey de Graaf,Scott Williams,8-10,n.a,96.4,101.08,8/18,10/16
Players Championship Finals 2024,R16,Connor Scutt,Daryl Gurney,10-3,n.a,95.19,86.16,10/26,3/10
Players Championship Finals 2024,R16,Niels Zonneveld,Mike De Decker,4-10,n.a,91.93,95.29,4/21,10/29
Players Championship Finals 2024,R16,Jermaine Wattimena,Dirk van Duijvenbode,5-10,n.a,90.85,99.51,5/18,10/21
Players Championship Finals 2024,R16,Martin Schindler,Ryan Joyce,6-10,n.a,87.59,97.12,6/16,10/19
Players Championship Finals 2024,R16,Luke Littler,Danny Noppert,10-3,n.a,104.7,88.92,10/20,3/7
Players Championship Finals 2024,R16,Andrew Gilding,Ross Smith,1-10,n.a,81.43,92.42,1/4,10/26
Players Championship Finals 2024,R16,Damon Heta,Luke Humphries,6-10,n.a,92.38,96.98,6/9,10/29
Players Championship Finals 2024,QF,Mike De Decker,Luke Littler,3-10,n.a,97.4,103.73,3/8,10/17
Players Championship Finals 2024,QF,Scott Williams,Ross Smith,3-10,n.a,96.99,105.26,3/10,10/14
Players Championship Finals 2024,QF,Connor Scutt,Dirk van Duijvenbode,9-10,n.a,98.75,96.69,9/18,10/26
Players Championship Finals 2024,QF,Luke Humphries,Ryan Joyce,10-5,n.a,95.5,91.1,10/32,5/14
Players Championship Finals 2024,SF,Luke Littler,Ross Smith,11-9,n.a,104.38,94.39,11/24,9/17
Players Championship Finals 2024,SF,Dirk van Duijvenbode,Luke Humphries,8-11,n.a,92.76,92.92,8/28,11/36
Players Championship Finals 2024,F,Luke Littler,Luke Humphries,7-11,n.a,100.08,103.69,7/19,11/26
Grand Slam of Darts 2024,R16,Danny Noppert,Michael Mansell,7-10,n.a,95.71,99.05,7/14,10/15
Grand Slam of Darts 2024,R16,James Wade,Cameron Menzies,9-10,n.a,95.92,93.5,9/19,10/25
Grand Slam of Darts 2024,R16,Martin Lukeman,Ross Smith,10-5,n.a,95.75,94.85,10/25,5/22
Grand Slam of Darts 2024,R16,Ritchie Edhouse,Rob Cross,4-10,n.a,94.13,98.68,4/15,10/12
Grand Slam of Darts 2024,R16,Jermaine Wattimena,Dimitri Van den Bergh,10-9,n.a,91.19,91.9,10/25,9/26
Grand Slam of Darts 2024,R16,Gian van Veen,Ryan Joyce,10-2,n.a,106.45,93.84,10/17,2/3
Grand Slam of Darts 2024,R16,Luke Littler,Mike De Decker,10-9,n.a,103.48,104.49,10/26,9/34
Grand Slam of Darts 2024,R16,Gary Anderson,Stephen Bunting,10-6,n.a,99.95,98.96,10/25,6/29
Grand Slam of Darts 2024,QF,Cameron Menzies,Michael Mansell,15-16,n.a,88.21,91.19,15/30,16/52
Grand Slam of Darts 2024,QF,Martin Lukeman,Rob Cross,16-11,n.a,98.34,94.63,16/37,11/23
Grand Slam of Darts 2024,QF,Jermaine Wattimena,Luke Littler,2-16,n.a,92.69,105.11,2/11,16/26
Grand Slam of Darts 2024,QF,Gary Anderson,Gian van Veen,16-14,n.a,99.13,97.38,16/28,14/30
Grand Slam of Darts 2024,SF,Michael Mansell,Martin Lukeman,12-16,n.a,92.28,99.66,12/38,16/35
Grand Slam of Darts 2024,SF,Luke Littler,Gary Anderson,16-15,n.a,103.81,100.17,16/39,15/29
Grand Slam of Darts 2024,F,Martin Lukeman,Luke Littler,3-16,n.a,93.42,107.08,3/6,16/35
